id;lat;lon;elevation;huette;visited;visitdate
111;46.26074720174070;8.08037191629409;0;Monte-Leone-Hütte SAC;False;
112;45.95789730548850;7.81228152103722;0;Monte-Rosa-Hütte CAS;False;
113;46.48629968985910;7.83009633421897;0;Mutthornhütte SAC;False;
114;46.85741432011120;9.01876453310251;0;Muttseehütte SAC;False;
115;46.52601666748520;8.17318674176931;0;Oberaarjochhütte SAC;False;
116;46.42420277930790;7.97126099467277;0;Oberaletschhütte SAC;False;
117;46.82001502253110;8.88044016435742;0;Planurahütte SAC;False;
118;46.73089343123130;9.64372669346630;0;Ramozhütte SAC;False;
119;46.17927669547490;6.94705478847026;0;Refuge de Chalin CAS;False;
120;45.97089537419370;7.53048939630389;0;Refuge des Bouquetins CAS;False;
121;46.39696117490530;10.11862370185550;0;Rifugio Saoseo CAS;False;
122;46.86578524298960;9.38082285225391;0;Ringelspitzhütte SAC;False;
123;46.65910217911000;8.16768268123269;0;Rosenlauibiwak SAC;False;
124;46.04853518307200;7.69740569405257;0;Rothornhütte SAC;False;
125;46.54485591687260;8.48444905132055;0;Rotondohütte SAC;False;
126;46.52604793198400;7.94471173547208;0;Rottalhütte SAC;False;
127;46.85122688300900;8.47535208798944;0;Rugghubelhütte SAC;False;
128;46.67650770395990;8.55192219838500;0;Salbithütte SAC;False;
129;46.67615046724670;8.52368264459073;0;Salbitschijenbiwak SAC;False;
130;46.91548372618850;9.27546702325344;0;Sardonahütte SAC;False;
131;46.09330452047280;7.70951435901224;0;Schalijochbiwak SAC;False;
132;46.49905820377170;7.89196148514747;0;Schmadrihütte;False;
133;46.00198519416150;7.62903006747364;0;Schoenbielhütte SAC;False;
134;46.58170795999460;8.09879332780838;0;Schreckhornhütte SAC;False;
135;46.87390160746870;10.00943549908690;0;Seetalhütte SAC;False;
136;46.74659013748160;8.52102977223694;0;Sewenhütte SAC;False;
137;46.54899045825000;7.93358325026929;0;Silberhornhütte SAC;False;
138;46.85439691878850;10.04012038931250;0;Silvrettahütte SAC;False;
139;45.97862432710820;7.66301114112138;0;Solvaybiwak SAC;False;
140;46.79980047047130;8.50979911163449;0;Spannorthütte SAC;False;
141;47.03428865410380;9.25058408640325;0;Spitzmeilenhütte SAC;False;
142;46.37738909572360;7.88106752559542;0;Stockhornbiwak SAC;False;
143;46.75163478590540;8.47080557607114;0;Sustlihütte SAC;False;
144;46.05166037566950;7.83010731451213;0;Taeschhütte SAC;False;
145;46.63456273265180;9.00493246503174;0;Terrihütte SAC;False;
146;46.70214719139030;8.41449293307960;0;Tierberglihütte SAC;False;
147;46.15685485303400;7.76199672371149;0;Topalihütte SAC;False;
148;46.71860715374350;8.64945905283093;0;Treschhütte SAC;False;
149;46.67790521867570;8.37667244486510;0;Trifthütte SAC;False;
150;46.16013779304920;7.69952807575464;0;Turtmannhütte SAC;False;
151;46.69059357605870;8.48770617507398;0;Voralphütte SAC;False;
152;46.08602156862610;7.74347858503460;0;Weisshornhütte SAC;False;
153;46.14379710517820;7.97778840176761;0;Weissmieshütten SAC;False;
154;46.37922967784100;7.38794591277837;0;Wildhornhütte SAC;False;
155;46.38256617821750;7.46814253740012;0;Wildstrubelhütte SAC;False;
156;46.69495191425080;8.34790357388556;0;Windegghütte SAC;False;
157;46.79012230597430;8.75572557561099;0;Windgaellenhütte;False;
158;46.50004844181230;9.09394282847642;0;Zapporthütte SAC;False;
